epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.29817,1.41165,2.81398,1.75485,0.61343,0.88258,0.8879,0.6156,1.39334,1.32811,1.25125,0,0,0
2,6.29561,1.24848,2.61955,1.44069,0.59831,0.89653,0.88811,0.61799,1.40544,1.35163,1.25735,6.0095e-07,6.0095e-07,6.0095e-07
