epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.44835,1.41165,2.81364,1.75485,0.61343,0.88257,0.8879,0.6156,1.39333,1.32763,1.25125,0,0,0
2,12.5954,1.24848,2.61925,1.44069,0.59831,0.89653,0.88811,0.61799,1.40544,1.35115,1.25735,6.0095e-07,6.0095e-07,6.0095e-07
